id,claim,category,source,evidence,verificationStatus,publishableNow,owner,lastVerified,requiredAction
C01,10+ yillik tecrube,metric,SRC-01 sunum slayt 3,"Sunum slayt 3'te '10+ / yillik tecrube' olarak yazili. Ayni slaytta 'DUOSIS, 2016 yilinda Istanbul'da kurulmus' ifadesi var; 2016-2026 araligi bu rakamla tutarli. Canli sitede bu iddia YOK (0/54 sayfa).",source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-01),Kurulus tarihi belgesiyle teyit edilmeli. 2026'da 10 yil TAM doluyor; '10+' ifadesi sinirda - metin '10 yil' mi '10+' mi olacak karara baglanmali
C02,50+ kurumsal musteri,metric,SRC-01 sunum slayt 3,Sunum slayt 3'te '50+ / kurumsal musteri' olarak yazili. Canli sitede YOK. Sunum slayt 7'de ~29 isimli musteri logosu var - bu 50+ iddiasini tek basina dogrulamaz.,source-present-owner-unverified,NO,Duosis satis,2026-09-08 (SRC-01),"Sayim yontemi tanimlanmali (aktif mi toplam mi, sozlesmeli mi proje bazli mi) ve yaziliya baglanmali"
C03,15+ teknik danisman,metric,SRC-01 sunum slayt 3,"Sunum slayt 3'te '15+ / teknik danisman' olarak yazili. Slayt 4 dort ekip tanimliyor (BT Danisman, Satis, Yazilim Gelistirme, BT Operasyon) ancak kisi sayisi vermiyor. Canli sitede YOK.",source-present-owner-unverified,NO,Duosis IK,2026-09-08 (SRC-01),Guncel kadro sayisi IK kaydindan dogrulanmali; 'teknik danisman' tanimi netlesmeli
C04,Turkiye + Central Asia + Middle East hizmet kapsami,claim,Yalnizca plan paketi 00/01,KAYNAK YOK. Sunumun 17 slaydinda ve brief'in tamaminda 'Central Asia / Orta Asya / Middle East / Orta Dogu' ifadeleri 0 kez geciyor. Canli sitede de yok (tek 'Middle East' eslesmesi partner Kron'un kendi ofis listesi). Sunum slayt 7'deki ~29 referansin tamami Turkiye merkezli kurumlar.,pending,NO,Duosis yonetim,-,Iki yeni kaynak da bu iddiayi desteklemiyor. Her bolge icin dogrulanabilir kanit gelmeden yayinlanmayacak
C19,DUOSIS 2016 yilinda Istanbul'da kurulmus BT Danismanlik sirketidir,fact,SRC-01 sunum slayt 3,"Slayt 3'te birebir: 'DUOSIS, 2016 yilinda Istanbul'da kurulmus bir Bilgi Teknolojileri Danismanlik sirketidir.' Bu bilgi canli sitenin hicbir sayfasinda yok.",source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-01),S09 timeline'in baslangic noktasi. Ticaret sicil kaydiyla teyit edilmeli
C20,"Dort uzman ekip: BT Danisman, Satis, Yazilim Gelistirme, BT Operasyon",fact,SRC-01 sunum slayt 2 ve 4,"Slayt 2 '4 uzman ekip, tek hedef'; slayt 4 dort ekibi numaralandirip her birinin gorevini tanimliyor.",source-present-owner-unverified,CONDITIONAL,Duosis IK,2026-09-08 (SRC-01),Ekip yapisi guncel mi teyit edilmeli. Kisi sayisi verilmedigi icin '15+' iddiasini dogrulamaz
C21,"Dort ana hizmet alani: Danismanlik, Destek, Egitim, Dis Kaynak ve Operasyon",fact,SRC-01 sunum slayt 5,"Sunum DORT hizmet tanimliyor. Canli site ise BES hizmet listeliyor (Danismanlik, Destek, Egitim, Dis Kaynak Yonetimi, Yonetilen Hizmetler). Sunum son ikisini 'Dis Kaynak ve Operasyon' altinda birlestirmis. Brief de 5 sayiyor.",conflict,NO,Duosis pazarlama,2026-09-08 (SRC-01),CELISKI: 4 mu 5 mi? /hizmetler sayfasi yazilmadan once karara baglanmali
C22,Cozum alani taksonomisi (prototip icin onaylandi),structure,SRC-01 + brief + plan paketi,"Uc kaynak farkli taksonomi tanimliyordu: plan paketi 8, brief 8 (farkli), sunum 9 (ITAM dahil). Codex planlama karari (ADR-009) prototip icin 8 kayitlik listeyi onayladi: APM Observability altinda, ITAM Configuration & Asset Management altinda birlestirildi; Engineering & Product Development korundu.",planning-decision,NO,Duosis pazarlama + is sahibi,2026-09-08 (SRC-01),S02/S07 implementasyonu icin PROVISIONAL onayli - blokaj kalkti. Nihai kamuya acik basliklar ve kapsamlar is sahibi dogrulamasi bekliyor; kod yapisi baslik/kapsam degisikligine izin verecek sekilde kurulmali.
C23,Isimli kurumsal musteri referanslari,proof,SRC-01 sunum slayt 7 ve 8-16,"Slayt 7'de sektor bazli ~29 musteri logosu; slayt 8-16'da her cozumun 'Ilgili Referanslar' bolumunde tekrar logolar. Tanimlanabilenler: Turkiye Cumhuriyet Merkez Bankasi, Turkish Airlines, Turkcell, TOFAS, Sabanci Dx, TAV Havalimanlari, iGA, DenizBank, Odeabank, Aktif Bank, TEB, Turkiye Finans, Ziraat Teknoloji, AgeSA, Anadolu Hayat Emeklilik, Kuveyt Turk, sigortam.net, hepsiJET, Moka United, Logo, turk.net, saat&saat, Eksim Yatirim Holding, Aygaz, Ozyegin Universitesi, ALJ, Bulutistan.",source-present-owner-unverified,NO,Duosis satis + hukuk,2026-09-08 (SRC-01),KRITIK: Ic sunumda logo bulunmasi YAYIN IZNI DEGILDIR. Her logo icin yazili kullanim izni alinmadan hicbiri kamuya acik sitede kullanilmayacak. logoPermission=unknown olarak kalir
C24,"Sunumda bir calisanin adi, kurumsal e-postasi ve cep telefonu",pii,SRC-01 sunum slayt 17 ve tum footer,"Slayt 17 bir calisanin adi, @duosis.com e-postasi ve cep telefonunu iceriyor. Ayni isim 17 slaydin tamaminin altbilgisinde yer aliyor.",source-present-owner-unverified,NO,Duosis IK + ilgili calisan,2026-09-08 (SRC-01),Kisisel veri. Ilgili kisinin acik rizasi olmadan web sitesinde yayinlanmayacak; iletisim sayfasinda kurumsal kanal (info@duosis.com) tercih edilmeli
